Nota,HaQuantoTempo,TipoRefeicao,Preco,Comentario,Comida,Serviço,Ambiente,Barulho,Espera,tamanho_texto
4,3 semanas atrás,Café da manhã,R$ 40–60,"fui hoje, domingo, por volta de 09h da manhã já estava com fila para pegar a comida e depois outra fila para a bebida. deixando claro que o próprio bairro da liberdade estava uma loucura!!!a comida é maravilhosa, tanto o que provei de salgado, que foi um quiche de alho poró (só estava um pouco frio), o croissant de banana com nutella e o new york roll também de nutella, estavam divinos!!!para beber pedi um capuccino, que não é muita coisa, não pediria de novo.o lugar é pequeno pela quantidade de pessoas circulando, tanto no térreo quanto no 1° andar. não cheguei a ir no 2º, achei um cantinho no balcão e fiquei por lá mesmo, estava impossível se mexer com a bandeja com os alimentos e a bebida.os atendentes parece que estão estressados, de ""saco cheio"" de tanta gente e tanta informação pra dar, e não achei que atendem com simpatia, são sempre secos, desde quem me atendeu na fila da comida, da bebida, do caixa e do balcão que fica do lado de fora.eu voltaria sim, mas tentaria um dia mais tranquilo para poder escolher as coisas com mais calma, sem pressão de fila, e encontrar um lugar para comer em paz.",5,3,4,Nível moderado de barulho,Não informado,1116
5,3 semanas atrás,Outro,R$ 20–40,"a comida é incrível, mas erraram no sabor da minha choux cream e do folhado da minha sobrinha. considerando que o local estava lotado e demoramos para encontrar um lugar para fazer a refeição, foi dificil retornar ao balcão para solicitar a troca pelos sabores corretos. o preço está dentro do praticado. dê preferência para ir durante a semana ou bem cedo (fica muito cheio aos sábados).",5,4,4,"Nível muito alto de barulho, difícil de ouvir",Não informado,388
5,2 meses atrás,Outro,R$ 40–60,"incrível!!!visitamos a 89 em uma sexta por volta das 18:00, não sei se foi sorte, ou o horário, mas estava “tranquilo”. sem fila para entrar, sem fila para pedir a comida, sem fila para pedir a bebida! somente para pedir o ny rolls estava mais movimentado, mas era mais a “confusão” de quem entrava e saía, do que de fato de quem estava pedindo.tem muitas opções, muitas mesmo! e todas de comer com os olhos! para um nível são paulo, no coração da liberdade, e pela qualidade oferecida, achei os valores pagáveis!tudo o que pedimos estavam extremamente deliciosos. destaco o choux de baunilha, que realmente é feito com fava de baunilha, uma delícia, o melhor que comi, não deixe de pedir!! nas fotos não aparece, mas pedimos um sanduíche de rosbife que estava incrível!sou a pessoa que foge de filas, se estivesse cheio para entrar, com certeza não iria, e pelo o que já pesquisei, fim de semana é bem comum estar lotado, então, vá durante a semana se tiver tempo hábil para isso.destaco o atendimento de todos os funcionários, a que nos atendeu para pedir comida, o rapaz que nos atendeu nas bebidas a moça do caixa, todos muito simpáticos e cordiais!vale super a visita, ainda mais pela qualidade oferecida!",5,5,5,Não informado,Não informado,1210
2,3 semanas atrás,Outro,R$ 40–60,"vitrine lindaaa, você olha e quer comer tudooooo !! porém fake news, o sabor é muito pesado e gorduroso, pura gordura hidrogenada! que decepção! pedido torta de pistache, torta cocada de nuts e banofe. caro, bonito demais e totalmente sem sabor, pesado e gorduroso!",2,4,4,Nível moderado de barulho,Sem espera,265
5,3 meses atrás,Café da manhã,R$ 80–100,"meu lugar favorito da liba, tem muita fila mas o segredo é chegar cedo, já que ele abre antes do que o resto do comércio local.se conseguir ir em pelo menos 2 pessoas, uma fica na fila dos salgados/doces e outra na fila das bebidas.não possui cardápio, por isso é importante combinar antes o que quer pegar, mas tenha certeza de que não importa o que escolher, vai ser uma boa experiência. além da apresentação linda, tudo é delicioso!meus favoritos são o niguiri sando salmão spicy, feito com a massa folheada deles que derrete na boca, e a casinha do totoro -  choco ganache house, que na época do natal vira a casinha do bonequinho de gengibre.também sempre levo o kabocha, um salgado com queijo, carne e massa de abóbora japonesa, e a takoxinha, uma coxinha de polvo! fora os biscoitinhos de farinha de amendoa!",5,5,5,Nível moderado de barulho,De 10 a 30 min,815
5,um mês atrás,Café da manhã,R$ 40–60,"é a segunda vez que visito, esqueci de avaliar na primeira vez.+ atedimento ótimo. pessoal é rapido apesar da loucura e da mulridão de gente. mesas estavam sempre sendo limpas enquanto estava no local.+ dessa ultima vez pedi um tost de brie, um bolo de matcha e frutas vermelhas e um cappuccino gelado. tudo excelente! destaque para o bolo fofinho, matcha na medida certa e não muito doce. os preços são de sp, então tem coisas exorbitantes e coisas mais em conta. tem muita variedade. sempre tem novidades, como o mousse na bola de pokemon.dicas:- chegue cedo. chegamos num domingo, 5 minutos antes de abrir e já tinham  umas 15 pessoas na fila;- se estiver em mais de uma pessoa, uma vai para a fila da bebida ( que demora um pouquinho para preparar) e outra fica na fila da comida, que é entregue na hora.considero top 5 cafeterias de sp. a qualidade é excelente.",5,5,4,Nível moderado de barulho,De 10 a 30 min,866
5,4 meses atrás,Outro,R$ 20–40,"lovely japanese-style café in liberdade 🇯🇵☕89 coffee is a cozy spot in praça da liberdade with a charming japanese theme that perfectly matches the district’s atmosphere. as someone living in japan, i found the menu pleasantly good, from the coffee and tea to the cakes and pastries, everything felt “japanese.”i ordered the butter scotchy coffee, which was very sweet, maybe that’s why i found it way sweeter than what i usually have in japan. still, it was delicious, especially if you enjoy sweet drinks. they also offer a wide variety of items like sandwiches, cakes, macarons, cookies, and bread, all beautifully presented.the café was quite crowded when i visited, probably because it’s one of the most popular spots in the area. overall, it’s a great place to take a short break, enjoy japanese-style sweets, and soak in the liberdade vibe. 🍰✨",5,5,5,Nível moderado de barulho,Sem espera,850
5,3 meses atrás,R$ 40–60,Não informado,"fui em um sábado que era feriado, estava lotado como na foto, mas surpreendentemente os atendentes eram rápidos. achei que de aparência o croissant de salame era pequeno e que não valia 22 reais, (na foto ele já está comido) mas depois de comer vi que é bem recheado e muito gostoso! um salgado, um doce e uma bebida que estavam deliciosos, deram 49 reais! me surprendi pois é o padrão mesmo de cafeteria, achei que daria bem mais caro. realmente a qualidade da comida é excelente. o espaço lá em cima é bem legal, a fila pro pagamento estava enorme mas foi super rápido. tive uma ótima experiência e voltaria de novo com certeza. recomendo",5,5,5,Nível moderado de barulho,Não informado,640
4,um mês atrás,R$ 40–60,Não informado,"pedi o bolo de melão e me surpreendi. é um dos melhores doces que já comi, macio, cremoso e não é enjoativo. o tiramisù também é bem gostoso, tem um gosto de café bem forte para quem gosta. de bebida, recomendo o butter scotchy, que tem café, leite, caramelo e baunilha - até eu que não curto muito caramelo gostei, não é melado e, por ser gelado, é bastante refrescante. o atendimento é um pouco confuso, por ser um lugar pequeno e apertado. é preciso um pouco de paciência",5,4,5,Nível moderado de barulho,Até 10 minutos,474
5,Editado 4 meses atrás,R$ 20–40,Não informado,"cafeteria diferenciada, comidas feitas com produtos de qualidade e bom gosto. uma experiência de sabor que não é esquecida!!!! não há necessidade de indicar algo, tudo lá é delicioso... mas, eu tenho paixão pelo bombom que parece uma florzinha de cerejeira.🌸 masssss precisam organizar melhor a forma como os pedidos no balcão são feitos, pois a fila entre vitrine de doces e salgados deixa os recém chegados bastante confusos. e é algo que percebo com recorrência.😉",5,4,4,Nível moderado de barulho,Não informado,466
